TesterID:	Maccor#2				
Channel Number:	47				
TestName:	KAI_Zelltest_regulaer_fix_no_degass.000				
TestDesc:	Regular cycling: formation, followed by pulse, C-rate quick charge and cycling t				
StartDateTime:	44888,6351560069				
Comment:					
					
					
Cycle	AH-IN	AH-OUT	WH-IN	WH-OUT	Date
129	0,400907396064	0,4007098641	1,546543952263	1,448498687986	44905,8561940972
130	0,400789369518	0,400615575422	1,546088243204	1,448181192038	44905,959524919
131	0,400616325526	0,400445115405	1,545420048532	1,447553562901	44906,0626834144
132	0,400482572946	0,400330208402	1,544920639507	1,447138880786	44906,1658006019
133	0,400359975196	0,400211277464	1,544466814474	1,446717471821	44906,2689109259
134	0,40023236	0,400076958866	1,543994796288	1,446243467288	44906,3720701968
135	0,400067112237	0,399919403322	1,543389857365	1,445647843444	44906,4750444097
136	0,40000576219	0,399849586515	1,543194366143	1,445403847707	44906,5782429051
137	0,399876095861	0,399720429066	1,542714281833	1,444909484243	44906,6813495718
138	0,399904862043	0,399759238691	1,542769751525	1,445054493484	44906,784348669
139	0,39978267267	0,399645587379	1,542318354295	1,444669067891	44906,8874398032
140	0,399662801586	0,39950856878	1,541840619507	1,444113967325	44906,9903713194
141	0,399556356082	0,399424700107	1,541450517834	1,443820939366	44907,0933395023
142	0,399462076525	0,399341958911	1,541134926044	1,443544796063	44907,1963664931
143	0,399387745926	0,399228327095	1,540850118642	1,44309450263	44907,2993671065
144	0,399163596216	0,399037169698	1,540034986129	1,442380430822	44907,4022712731
145	0,399309543961	0,399187017532	1,540579193986	1,442878036773	44907,5053542824
146	0,39913034811	0,398993271826	1,539798630167	1,442175505819	44907,6082245718
147	0,399032165905	0,398897676596	1,539427391242	1,441825128399	44907,7109966435
148	0,399010466731	0,398871902625	1,53936915606	1,441769478934	44907,8138776852
149	0,398864864227	0,398734969645	1,538863352123	1,441253765876	44907,9167193056
150	0,398747810246	0,398643240881	1,5384492585	1,440931675699	44908,0195298032
151	0,398684572909	0,398566994305	1,538234935822	1,440647711739	44908,122448669
152	0,398501107224	0,398362925024	1,537513759388	1,43996873296	44908,2251902778
153	0,398214033079	0,398098149838	1,536578691883	1,438879821503	44908,3280065856
154	0,398316835237	0,398245430129	1,536984409856	1,439395294634	44908,43096625
155	0,398445306889	0,398353879388	1,53738262741	1,439784203088	44908,5339488889
156	0,398345723541	0,398245459377	1,536910795945	1,439415806094	44908,6365346181
157	0,398255651769	0,398145912486	1,536585846984	1,439095690213	44908,7391475926
158	0,398150918666	0,398020680209	1,536186283349	1,43860658718	44908,841796088
159	0,398020930311	0,397927663752	1,535734954665	1,43825273005	44908,9444065046
160	0,397966623089	0,397855274108	1,535549423864	1,437993428832	44909,047095162
161	0,397887965828	0,397781676455	1,53526164799	1,437727946822	44909,1497288657
162	0,3977969195	0,39769258835	1,53490221448	1,437388101593	44909,2522750463
163	0,397774430682	0,397675779267	1,534837317858	1,437281287947	44909,3550204977
164	0,397822879663	0,39771191687	1,534993390881	1,437423828402	44909,4576928704
165	0,397692466607	0,397598297558	1,534512786955	1,437009540846	44909,5604889468
166	0,397623932161	0,397523399073	1,534245081401	1,436744787946	44909,6632760417
167	0,397499090094	0,397392966014	1,533771393268	1,436229204181	44909,7658598727
168	0,397457547549	0,397346414552	1,533619549286	1,436130737192	44909,8684353472
169	0,397361709652	0,397247003084	1,533257625245	1,435735880473	44909,9709187037
170	0,397303741784	0,397195271185	1,533049872254	1,435538594614	44910,0734937731
171	0,397207829787	0,397101047148	1,532688096835	1,435183269997	44910,1759766319
